phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
grass,3,369,964.956653522605,0.667190367183616,2,1722.61898183435,0.550075793375598,2
yuri,3,101,964.683046850828,0.666754631987873,2,1792.78526865138,0.66202905310446,2
arms at sides,5,56,964.621629987444,0.666674849487244,2,1757.91206686837,0.60820041364158,2
sunny,3,210,964.579888516381,0.666595066986615,2,1790.9344069708,0.659383956352835,2
shirtlift,4,72,964.325701395671,0.666190017368037,2,1788.84451972114,0.65606377690358,2
sneakers,3,150,964.14448445638,0.66580951621119,2,1806.05912109375,0.681330281141258,2
circlet,5,127,964.099721473033,0.665717459479695,2,1846.90783691406,0.734226079058321,2
throne,3,52,963.976758516752,0.665582442940169,2,1800.16032527043,0.672983804152372,2
tiara,3,247,963.800010279605,0.665214216014189,2,1839.69990496307,0.725554334951486,2
stylized,4,76,963.67212114836,0.664981005627735,2,1758.68413503546,0.609489207882511,2
waving,3,72,962.491394466824,0.662673450224925,2,1803.81429714627,0.678200352270426,2
broad shoulders,4,66,962.438501531428,0.662569119262564,2,1751.46210826527,0.597620026635081,2
emerald,3,246,962.384163709191,0.662446376953904,2,1846.57467676178,0.733821029439743,2
scifi,3,103,962.334644502806,0.662385005799574,2,1845.89565951153,0.733004793087153,2
(small breasts:1.3),10,52,962.295248178335,0.662305223298945,2,1760.79753347544,0.612925992524993,2
absurdly long hair,6,423,962.264711673096,0.662194755221151,2,1736.04222146614,0.572482401821496,2
(royal palace),6,106,961.619974100365,0.661071663096911,2,1795.61682992611,0.666386405061893,2
gym,3,56,961.550138201032,0.660948920788251,2,1774.74488830566,0.634700478081292,2
smoking,3,51,961.434917375153,0.660709573286364,2,1790.42492915135,0.658598405577411,2
white_hair,5,111,961.284946579117,0.660433403091879,2,1796.00072032482,0.667006253720626,2
no humans,4,296,961.243882565885,0.660365894822116,2,1778.20998155749,0.640137962354934,2
by alayna lemmer,7,55,960.676530872692,0.659347133660237,2,1810.38405983665,0.687424436766231,2
long straight hair,5,100,960.539892578125,0.659077100581185,2,1711.48272216797,0.53057204052951,2
embers,4,62,960.38715288716,0.6588009303867,2,1676.28475263042,0.468789699465457,1
fish,3,59,959.936676542638,0.657960145572378,2,1803.70995679952,0.678022375922869,2
short sleeves,4,377,959.766051436609,0.657653289800728,2,1784.03238279307,0.649104288002553,2
(pale skin),6,89,959.716249958853,0.657536684607501,2,1702.04497742385,0.514443701171575,2
peeing,4,94,959.605522642744,0.657334159798212,2,1765.02216485206,0.619775013348226,2
sky,3,1141,959.555243396007,0.657229828835851,2,1849.96429742918,0.737601492546473,2
aegyo sal,6,61,959.020701674164,0.65624789036657,2,1706.67190301614,0.522802452391327,2
mechanical parts,4,161,958.944963538128,0.656131285173343,2,1781.47921771885,0.645145848548265,2
tan skin,4,108,958.935408133048,0.656088325365312,2,1844.90648792408,0.73181419269315,2
epic character composition,5,225,958.565301513672,0.655419379783114,2,1865.1608601888,0.755165916915731,3
flowing hair,4,56,958.505241394043,0.655241403435557,2,1773.78797476632,0.633264393069969,2
detailed landscape,4,91,958.356268243475,0.654824079586113,2,1829.2547862294,0.712555924464383,2
full moon,4,140,958.170442853655,0.654554046507061,2,1743.2507132394,0.584099961336173,2
8k wallpaper,5,838,958.052514251491,0.654314699005174,2,1837.45710036977,0.722854004160964,2
open shirt,4,131,957.709019784709,0.653664164769275,2,1754.39579295384,0.602517444750618,2
green,3,67,957.286986393715,0.65283565418582,2,1752.84702585704,0.600056461461984,2
white shirt,4,1169,957.096582652566,0.652485838606138,2,1746.8391770101,0.589789067342568,2
squatting,4,470,957.00941201068,0.652307862258581,2,1726.56225209338,0.556568861503716,2
white dress,4,710,956.997544009249,0.652283313796849,2,1762.710925207,0.616270720435981,2
